date,area_I_0,area_O_0,area_I_1,area_O_1,area_I_2,area_O_2,area_I_3,area_O_3,area_I_4,area_O_4,area_I_5,area_O_5,area_I_6,area_O_6,area_I_7,area_O_7,area_I_8,area_O_8,area_I_9,area_O_9,area_I_10,area_O_10,area_I_11,area_O_11,area_I_12,area_O_12,area_I_13,area_O_13,area_I_14,area_O_14,area_I_15,area_O_15,area_I_16,area_O_16,area_I_17,area_O_17,area_I_18,area_O_18,area_I_19,area_O_19,area_I_20,area_O_20,area_I_21,area_O_21,area_I_22,area_O_22,area_I_23,area_O_23,area_I_24,area_O_24,area_I_25,area_O_25,area_I_26,area_O_26,area_I_27,area_O_27,area_I_28,area_O_28,area_I_29,area_O_29,area_I_30,area_O_30,area_I_31,area_O_31,area_I_32,area_O_32,area_I_33,area_O_33,area_I_34,area_O_34,area_I_35,area_O_35,area_I_36,area_O_36,area_I_37,area_O_37,area_I_38,area_O_38,area_I_39,area_O_39,area_I_40,area_O_40,area_I_41,area_O_41,area_I_42,area_O_42,area_I_43,area_O_43,area_I_44,area_O_44,area_I_45,area_O_45,area_I_46,area_O_46,area_I_47,area_O_47,area_I_48,area_O_48,area_I_49,area_O_49,area_I_50,area_O_50,area_I_51,area_O_51,area_I_52,area_O_52,area_I_53,area_O_53,area_I_54,area_O_54,area_I_55,area_O_55,area_I_56,area_O_56,area_I_57,area_O_57,area_I_58,area_O_58,area_I_59,area_O_59,area_I_60,area_O_60,area_I_61,area_O_61,area_I_62,area_O_62,area_I_63,area_O_63,area_I_64,area_O_64,area_I_65,area_O_65,area_I_66,area_O_66,area_I_67,area_O_67,area_I_68,area_O_68,area_I_69,area_O_69
2014-08-05T00:00:01,144,92,70,61,8,7,52,55,0,45,53,56,28,30,13,10,14,9,55,46,49,47,64,64,24,28,35,49,17,20,24,23,24,15,24,20,23,17,27,29,70,38,23,40,21,14,27,31,41,41,41,27,24,29,39,39,33,30,31,22,22,21,21,24,9,25,0,37,23,32,17,21,9,8,7,7,7,5,3,4,7,5,1,1,6,7,0,0,3,2,1,1,6,9,5,3,5,6,2,1,1,0,1,2,0,0,0,0,0,0,2,1,0,0,0,0,4,2,3,4,4,4,3,3,1,2,14,13,4,6,6,6,3,3,0,1,6,5,4,3
2014-08-26T00:00:01,172,120,75,64,4,8,65,57,64,63,57,67,22,23,18,18,10,11,59,61,54,48,67,69,25,35,35,49,34,39,28,38,23,19,17,18,26,28,27,28,59,45,15,23,25,25,34,32,57,56,48,37,21,20,28,28,17,18,25,26,31,24,37,35,16,41,39,43,17,35,22,23,4,4,7,6,7,8,7,6,6,4,6,4,7,8,4,3,0,7,3,2,0,2,5,5,9,10,7,4,12,10,1,2,0,0,0,0,0,0,1,0,1,1,0,0,4,4,2,2,2,3,1,0,0,0,21,16,3,4,9,7,7,6,0,8,4,3,0,0
2014-07-11T00:00:01,112,80,54,55,14,6,44,36,50,39,42,45,13,16,10,13,16,13,46,39,58,35,0,41,19,26,29,33,10,25,25,26,23,17,21,17,21,25,16,18,61,47,9,11,13,16,21,25,36,37,34,31,12,17,32,21,22,17,16,19,27,21,0,16,14,28,35,32,14,26,20,15,2,0,2,9,3,3,3,4,3,2,2,2,1,5,1,4,1,1,1,0,6,4,2,1,1,0,2,2,4,2,1,2,0,0,0,0,0,1,2,1,0,0,0,0,6,5,2,1,2,2,2,4,4,5,11,11,7,4,5,6,4,5,3,3,3,2,2,2
2014-07-08T00:00:01,138,103,64,57,7,9,48,49,52,56,49,52,17,13,7,11,10,7,49,39,34,35,55,51,27,33,27,37,19,20,26,26,24,21,12,9,18,22,23,22,67,60,10,16,9,16,21,20,38,35,38,28,13,15,26,25,26,21,29,21,22,13,0,26,12,28,22,22,14,35,24,24,2,1,6,7,5,4,2,1,2,4,1,1,2,5,6,6,1,2,0,1,8,7,2,0,3,4,4,4,6,3,1,1,0,0,0,0,0,0,1,1,0,0,0,0,7,4,1,1,3,5,0,1,0,0,18,17,10,7,11,9,3,6,5,4,6,9,4,5
2014-05-12T00:00:01,130,105,63,54,0,7,53,60,63,50,43,55,11,13,15,17,11,14,41,38,44,31,49,43,25,34,30,36,23,25,31,26,18,13,16,18,24,26,15,20,54,53,10,21,12,17,22,22,14,28,28,27,28,13,25,28,18,16,33,20,28,22,23,22,15,24,33,40,18,28,22,23,5,4,4,4,9,7,2,2,2,2,6,6,3,7,2,2,0,2,4,1,1,1,5,3,1,3,2,3,4,2,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,2,1,1,1,2,2,1,2,10,15,4,3,4,3,3,5,6,3,3,4,4,1
2014-06-08T00:00:01,19,24,7,6,0,3,19,26,38,40,7,6,5,3,1,0,4,5,8,10,63,50,22,25,5,8,19,16,14,13,2,3,7,5,6,6,15,20,2,2,9,11,8,8,5,9,15,8,26,12,13,6,8,13,7,6,9,10,5,8,13,19,17,11,11,13,16,13,7,14,4,4,0,0,3,3,1,1,0,1,1,2,1,0,2,0,4,6,0,2,3,6,7,8,10,5,1,4,7,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,2,0,2,3,4,3,1,1,1,2,1,2,0,0,2,1,1,1,2,0,1,1
2014-04-09T00:00:01,107,89,45,46,5,9,39,43,51,50,32,44,9,12,10,10,16,12,35,39,47,45,57,49,27,26,29,34,18,24,19,26,19,16,15,16,18,17,20,24,57,51,20,19,19,13,17,18,41,33,33,33,23,14,27,27,19,16,22,26,21,21,20,16,13,25,30,29,24,32,23,24,0,0,1,0,6,6,2,2,2,4,3,4,4,4,1,1,1,4,2,1,4,3,4,3,2,3,5,3,3,1,3,3,0,0,1,1,0,0,1,1,1,1,0,0,2,7,1,2,3,2,6,3,2,1,7,10,8,6,5,4,4,3,1,1,6,6,2,2
2014-03-28T00:00:01,95,75,46,47,6,7,34,37,43,46,33,44,6,15,9,12,17,6,32,27,34,30,46,37,16,19,19,25,24,20,25,18,17,10,9,12,14,20,14,14,35,38,11,14,12,19,12,16,30,24,25,32,25,17,17,15,17,20,31,26,22,14,18,19,11,20,31,31,17,27,18,18,0,0,0,0,9,8,5,6,5,5,2,5,8,9,3,2,5,3,1,3,3,4,2,1,4,3,5,6,3,0,0,2,0,0,2,1,0,0,1,0,0,0,1,1,2,3,3,3,2,1,1,2,0,1,10,11,7,2,8,9,2,2,3,2,4,4,3,5
2014-03-03T00:00:01,90,68,21,36,3,7,24,25,25,35,35,43,2,8,7,9,9,4,25,19,22,19,37,23,17,12,16,12,11,18,11,14,9,8,9,6,5,12,19,17,39,29,3,11,8,5,9,16,25,24,24,24,13,12,18,11,15,9,22,20,15,9,12,9,7,20,22,22,16,29,14,11,0,0,0,0,8,6,0,2,0,2,1,1,2,5,1,3,1,2,3,1,2,2,1,1,5,4,1,2,5,2,1,1,1,0,0,0,0,0,0,1,0,0,1,0,3,3,3,4,2,4,6,1,1,3,15,12,4,6,8,5,4,8,2,2,5,6,1,1
2014-08-24T00:00:01,17,19,4,5,7,6,9,6,28,34,1,3,0,0,4,2,13,3,8,10,36,26,9,7,5,5,5,10,9,8,5,5,2,6,3,6,17,16,2,10,9,4,14,13,3,2,15,11,10,14,15,12,8,8,8,12,8,8,2,1,4,9,6,9,9,7,8,7,4,3,3,2,1,1,0,0,2,4,3,3,0,0,0,0,1,0,0,0,0,0,1,0,0,2,2,2,0,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,4,3,3,4,2,1,4,6,0,2,1,0,3,3,0,0,1,0,1,0
