atoms,charge,origin,bond1,bond2
1,-0.019834788191662036,0,"[1, 1, 5, 5]","[1, 5, 5, 5, 5, 56]"
1,0.0639244142397227,0,"[1, 5, 5, 56]","[1, 5, 5, 36, 57]"
56,-0.2783634088189982,0,"[1, 36, 57]","[1, 5, 5, 56, 56]"
57,0.33826574376463064,0,"[56, 56, 56]","[1, 36, 36, 36, 36, 36]"
56,-0.29103764169443014,0,"[36, 36, 57]","[56, 56]"
56,-0.29103764169443014,0,"[36, 36, 57]","[56, 56]"
3,0.24274196648350885,0,"[1, 7, 10]","[1, 1, 5, 10, 28]"
7,-0.2727044306899178,0,[3],"[1, 10]"
10,-0.3420034162697893,0,"[1, 3, 28]","[1, 1, 3, 5, 7]"
1,0.11647571018580566,0,"[1, 3, 5, 10]","[3, 3, 5, 5, 7, 10, 28]"
1,0.05564541585924387,0,"[1, 3, 5, 5]","[3, 5, 7, 10, 10]"
3,0.21952925068376114,0,"[1, 7, 10]","[1, 5, 5, 28, 28]"
10,-0.36959816210521457,0,"[3, 28, 28]","[1, 7]"
7,-0.2752675706171637,0,[3],"[1, 10]"
3,0.2432653724651996,0,"[1, 7, 10]","[1, 1, 5, 10, 28]"
7,-0.272687231402203,0,[3],"[1, 10]"
10,-0.3425058989119162,0,"[1, 3, 28]","[1, 1, 3, 5, 7]"
1,0.10785499501632687,0,"[1, 3, 5, 10]","[1, 3, 5, 5, 7, 10, 28]"
1,-0.020665283021233598,0,"[1, 1, 5, 5]","[1, 3, 5, 5, 5, 10]"
1,-0.019834788190775228,0,"[1, 1, 5, 5]","[1, 5, 5, 5, 5, 56]"
1,0.06392441423972439,0,"[1, 5, 5, 56]","[1, 5, 5, 36, 57]"
56,-0.2783634088189982,0,"[1, 36, 57]","[1, 5, 5, 56, 56]"
57,0.33826574376463064,0,"[56, 56, 56]","[1, 36, 36, 36, 36, 36]"
56,-0.29103764169443014,0,"[36, 36, 57]","[56, 56]"
56,-0.29103764169443014,0,"[36, 36, 57]","[56, 56]"
3,0.2427289613009201,0,"[1, 7, 10]","[1, 1, 5, 10, 28]"
7,-0.27270463483928703,0,[3],"[1, 10]"
10,-0.34251928515981,0,"[1, 3, 28]","[1, 1, 3, 5, 7]"
1,0.10785476471698267,0,"[1, 3, 5, 10]","[1, 3, 5, 5, 7, 10, 28]"
1,-0.02066528483772217,0,"[1, 1, 5, 5]","[1, 3, 5, 5, 5, 10]"
1,-0.019834788197531438,0,"[1, 1, 5, 5]","[1, 5, 5, 5, 5, 56]"
1,0.06392441423971205,0,"[1, 5, 5, 56]","[1, 5, 5, 36, 57]"
56,-0.2783634088189982,0,"[1, 36, 57]","[1, 5, 5, 56, 56]"
57,0.33826574376463064,0,"[56, 56, 56]","[1, 36, 36, 36, 36, 36]"
56,-0.29103764169443014,0,"[36, 36, 57]","[56, 56]"
56,-0.29103764169443014,0,"[36, 36, 57]","[56, 56]"
3,0.24272895947847886,0,"[1, 7, 10]","[1, 1, 5, 10, 28]"
7,-0.27270463484657437,0,[3],"[1, 10]"
10,-0.3425192851655412,0,"[1, 3, 28]","[1, 1, 3, 5, 7]"
1,0.10785476471698084,0,"[1, 3, 5, 10]","[1, 3, 5, 5, 7, 10, 28]"
1,-0.020665284837722172,0,"[1, 1, 5, 5]","[1, 3, 5, 5, 5, 10]"
1,-0.019834788197531438,0,"[1, 1, 5, 5]","[1, 5, 5, 5, 5, 56]"
1,0.06392441423971205,0,"[1, 5, 5, 56]","[1, 5, 5, 36, 57]"
56,-0.2783634088189982,0,"[1, 36, 57]","[1, 5, 5, 56, 56]"
57,0.33826574376463064,0,"[56, 56, 56]","[1, 36, 36, 36, 36, 36]"
56,-0.29103764169443014,0,"[36, 36, 57]","[56, 56]"
56,-0.29103764169443014,0,"[36, 36, 57]","[56, 56]"
3,0.24272895948353754,0,"[1, 7, 10]","[1, 1, 5, 10, 28]"
7,-0.2727046348465643,0,[3],"[1, 10]"
10,-0.3425192836712175,0,"[1, 3, 28]","[1, 1, 3, 5, 7]"
1,0.10785494506881464,0,"[1, 3, 5, 10]","[1, 3, 5, 5, 7, 10, 28]"
1,-0.02066528334764028,0,"[1, 1, 5, 5]","[1, 3, 5, 5, 5, 10]"
1,-0.019834788191857373,0,"[1, 1, 5, 5]","[1, 5, 5, 5, 5, 56]"
1,0.06392441423972255,0,"[1, 5, 5, 56]","[1, 5, 5, 36, 57]"
56,-0.2783634088189982,0,"[1, 36, 57]","[1, 5, 5, 56, 56]"
57,0.33826574376463064,0,"[56, 56, 56]","[1, 36, 36, 36, 36, 36]"
56,-0.29103764169443014,0,"[36, 36, 57]","[56, 56]"
56,-0.29103764169443014,0,"[36, 36, 57]","[56, 56]"
3,0.24273904540826663,0,"[1, 7, 10]","[1, 1, 5, 10, 28]"
7,-0.27270445607456945,0,[3],"[1, 10]"
10,-0.3421936079192752,0,"[1, 3, 28]","[1, 1, 3, 5, 7]"
1,0.11183598268411317,0,"[1, 3, 5, 10]","[3, 5, 5, 7, 10, 28, 64]"
1,0.0037842534337366716,0,"[1, 5, 5, 64]","[3, 5, 10, 63, 64]"
64,-0.020067343716046477,0,"[1, 63, 64]","[1, 5, 5, 5, 37, 39, 63]"
63,0.004992636937451901,0,"[5, 39, 64]","[1, 23, 63, 64]"
39,-0.36088847286894155,0,"[23, 63, 63]","[5, 37, 64, 64]"
63,0.04563014388807125,0,"[37, 39, 64]","[5, 23, 37, 37, 63, 64]"
37,-0.038003019255391596,0,"[5, 37, 63]","[5, 37, 39, 64]"
37,-0.06015891164812436,0,"[5, 37, 37]","[5, 5, 37, 63]"
37,-0.06150923066268245,0,"[5, 37, 37]","[5, 5, 37, 64]"
